[/player int32:0, float32:-3664.65, float32:6936.25, float32:5572.14, bool:false, float32:64483, float32:51838, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3663.24, float32:6944.66, float32:5622.76, bool:false, float32:64504, float32:52206, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3661.45, float32:6952.49, float32:5673.43, bool:false, float32:64542, float32:52266, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3659.27, float32:6959.74, float32:5724.13, bool:false, float32:64590, float32:52620, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3656.7, float32:6966.45, float32:5774.88, bool:false, float32:64665, float32:52678, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3652.34, float32:6975.36, float32:5849.39, bool:false, float32:64750, float32:53036, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3648.97, float32:6980.93, float32:5900.24, bool:false, float32:64855, float32:53097, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3645.21, float32:6985.99, float32:5951.06, bool:false, float32:64974, float32:53455, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3641.07, float32:6990.58, float32:6001.86, bool:false, float32:65147, float32:53464, float32:4443, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3632.96, float32:6997.77, float32:6093.12, bool:false, float32:65329, float32:53751, float32:4294, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3628.05, float32:7001.34, float32:6143.99, bool:false, float32:65521, float32:53704, float32:4145, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3622.78, float32:7004.48, float32:6194.72, bool:false, float32:179, float32:53930, float32:3996, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3617.15, float32:7007.19, float32:6245.31, bool:false, float32:376, float32:53820, float32:3847, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3611.17, float32:7009.51, float32:6295.73, bool:false, float32:567, float32:53982, float32:3698, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3604.85, float32:7011.43, float32:6345.99, bool:false, float32:749, float32:53822, float32:3549, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3598.21, float32:7012.97, float32:6396.08, bool:false, float32:912, float32:53926, float32:3400, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3591.26, float32:7014.15, float32:6446, bool:false, float32:1063, float32:53710, float32:3251, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3584, float32:7014.97, float32:6495.73, bool:false, float32:1190, float32:53755, float32:3102, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3576.46, float32:7015.43, float32:6545.29, bool:false, float32:1303, float32:53483, float32:2953, float32:0, float32:0, float32:0]
